time,domain,iface,event,step,txid,ip,mac,ssid,snr,hops,note
30.720760,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-45.924951,1,native PHY beacon; role=peer
30.823151,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-39.727604,1,native PHY beacon; role=peer
30.925551,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-45.538878,1,native PHY beacon; role=peer
31.027951,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-45.341616,1,native PHY beacon; role=peer
31.130342,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.649216,0,native PHY beacon; role=gateway
31.232751,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-44.938254,1,native PHY beacon; role=peer
31.335169,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-40.523133,1,native PHY beacon; role=peer
31.437542,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.652619,0,native PHY beacon; role=gateway
31.540005,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.660742,0,native PHY beacon; role=gateway
31.642360,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-41.031133,1,native PHY beacon; role=peer
31.745502,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.687501,0,native PHY beacon; role=gateway
31.847169,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0c,Adhoc-C,-44.705862,0,native PHY beacon; role=gateway
31.949587,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-41.553234,1,native PHY beacon; role=peer
32.051978,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0f,Adhoc-C,-41.729292,1,native PHY beacon; role=peer
32.154360,3,ADHOC,IBSS_BEACON_RX,Beacon Rx,0,10.100.3.1,00:00:00:00:00:0e,Adhoc-C,-42.958841,1,native PHY beacon; role=peer
